number,name,votes,electronic,abroad,mandate,district,party
270,Timo Suslov,781,432,1,#N/A,4,Eesti Reformierakond
896,Kristiina Tõnnisson,775,489,2,#N/A,10,Erakond Eesti 200
335,Andrus Seeme,764,407,1,Kompensatsioonimandaat,11,Eesti Reformierakond
1101,Mari-Ann Kelam,745,407,2,#N/A,4,Isamaa Erakond
753,Kalle Grünthal,740,210,5,#N/A,8,Eesti Konservatiivne Rahvaerakond
564,Jüri Morozov,735,281,1,#N/A,9,Sotsiaaldemokraatlik Erakond
573,Toomas Jürgenstein,735,462,4,#N/A,10,Sotsiaaldemokraatlik Erakond
1026,Jelena Frunze,732,219,1,#N/A,10,Eesti Keskerakond
730,Hardi Rehkalt,722,218,8,#N/A,5,Eesti Konservatiivne Rahvaerakond
321,Erkki Keldo,722,401,0,#N/A,9,Eesti Reformierakond
789,Jüri Kaver,716,246,12,#N/A,11,Eesti Konservatiivne Rahvaerakond
256,Johannes Kert,708,460,4,Kompensatsioonimandaat,3,Eesti Reformierakond
1010,Helmut Hallemaa,700,128,1,#N/A,8,Eesti Keskerakond
775,Indrek Kalda,689,215,7,#N/A,10,Eesti Konservatiivne Rahvaerakond
1042,Marko Šorin,686,178,0,#N/A,12,Eesti Keskerakond
1027,Nikolai Põdramägi,683,61,1,#N/A,10,Eesti Keskerakond
791,Alar Laneman,673,209,4,Ringkonnamandaat,12,Eesti Konservatiivne Rahvaerakond
478,Jaak Juske,672,425,2,#N/A,1,Sotsiaaldemokraatlik Erakond
1178,Lauri Luur,663,300,3,#N/A,12,Isamaa Erakond
1148,Eva Kams,660,332,1,#N/A,9,Isamaa Erakond
737,Marti Kuusik,657,219,6,#N/A,6,Eesti Konservatiivne Rahvaerakond
940,Erki Savisaar,653,116,0,#N/A,2,Eesti Keskerakond
731,Agnes Pulk,653,207,3,#N/A,5,Eesti Konservatiivne Rahvaerakond
1168,Meelis Mõttus,644,264,1,#N/A,11,Isamaa Erakond
962,Kaido Höövelson,642,219,1,#N/A,4,Eesti Keskerakond
532,Neeme Suur,640,270,0,#N/A,5,Sotsiaaldemokraatlik Erakond
291,Katrin Kuusemäe,640,387,2,#N/A,6,Eesti Reformierakond
943,Tõnis Mölder,633,177,0,#N/A,2,Eesti Keskerakond
996,Tarmo Tammiste,632,114,0,#N/A,7,Eesti Keskerakond
999,Maksim Volkov,619,67,0,#N/A,7,Eesti Keskerakond
958,Eduard Toman,617,142,3,#N/A,3,Eesti Keskerakond
290,Mati Raidma,617,363,1,#N/A,6,Eesti Reformierakond
895,Margus Tsahkna,612,284,3,#N/A,10,Erakond Eesti 200
389,Anu Nataly Saagim-Ratia,608,355,1,#N/A,4,Erakond Eestimaa Rohelised
585,Kalvi Kõva,605,246,1,Kompensatsioonimandaat,11,Sotsiaaldemokraatlik Erakond
1077,Lagle Parek,595,319,6,#N/A,2,Isamaa Erakond
307,Rait Pihelgas,593,326,1,#N/A,8,Eesti Reformierakond
1041,Mikk Pikkmets,585,218,1,#N/A,12,Eesti Keskerakond
928,Natalia Malleus,584,122,3,#N/A,1,Eesti Keskerakond
783,Arno Sild,575,185,17,#N/A,11,Eesti Konservatiivne Rahvaerakond
546,Eduard Odinets,573,248,0,#N/A,7,Sotsiaaldemokraatlik Erakond
277,Vladas Radvilavičius,569,382,0,#N/A,4,Eesti Reformierakond
771,Ruuben Kaalep,566,183,6,Kompensatsioonimandaat,10,Eesti Konservatiivne Rahvaerakond
244,Toomas Kruusimägi,566,420,0,#N/A,2,Eesti Reformierakond
769,Aare Rüütel,565,217,4,#N/A,9,Eesti Konservatiivne Rahvaerakond
271,Andrus Umboja,562,321,0,#N/A,4,Eesti Reformierakond
243,Ülle Rajasalu,561,343,2,#N/A,2,Eesti Reformierakond
1039,Ülo Tulik,559,150,0,#N/A,11,Eesti Keskerakond
763,Ülle Rosin,557,164,2,#N/A,9,Eesti Konservatiivne Rahvaerakond
289,Indrek Kesküla,547,283,2,#N/A,6,Eesti Reformierakond
800,Marek Reinaas,537,358,0,#N/A,1,Erakond Eesti 200
1141,Alar Karu,531,234,0,#N/A,8,Isamaa Erakond
897,Tanel Tein,530,258,1,#N/A,10,Erakond Eesti 200
998,Eevi Paasmäe,529,116,2,#N/A,7,Eesti Keskerakond
687,Endel Oja,528,178,5,#N/A,2,Eesti Konservatiivne Rahvaerakond
